participant_id	age	sex	handedness
sub-01	23.86	F	Right
sub-02	23.33	F	Right
sub-03	24.96	M	Right
sub-04	39.10	M	Right
sub-05	23.81	F	Right
sub-06	23.73	F	Right
sub-07	28.52	M	Right
sub-08	22.88	M	Right
sub-09	20.75	F	Right
sub-10	24.28	M	Right
sub-11	22.40	F	Right
sub-12	23.16	F	Right
sub-13	29.53	M	Right
sub-14	24.49	F	Right
sub-15	38.01	F	Right
sub-16	25.04	F	Right
sub-17	24.67	F	Right
sub-18	25.18	F	Right
sub-19	28.09	M	Right
sub-20	32.18	M	Right
sub-21	24.34	F	Right
sub-22	24.89	F	Right
sub-23	22.35	F	Right
sub-24	29.00	M	Right
sub-25	27.32	F	Right
sub-26	23.81	F	Right
sub-27	26.28	F	Right
sub-28	24.52	F	Right
sub-29	26.09	M	Right
sub-30	23.74	F	Right
sub-31	29.90	F	Right
